Time,1,2,3,4
0.000000,-5.404762,2.650000,-23.607965,16.058879
0.000500,-6.842857,4.079310,-16.568142,14.642056
0.001000,-15.471429,4.079310,-26.423894,17.475701
0.001500,-6.842857,5.508621,-23.607965,7.557944
0.002000,-5.404762,6.937931,-22.200000,4.724299
0.002500,-5.404762,2.650000,-25.015929,11.808411
0.003000,-3.966667,9.796552,-25.015929,3.307477
0.003500,-5.404762,-1.637931,-26.423894,-12.277570
0.004000,-18.347619,4.079310,-26.423894,-19.361682
0.004500,-5.404762,4.079310,-19.384071,-29.279439
0.005000,-5.404762,6.937931,-9.528319,-34.946729
0.005500,-5.404762,2.650000,-29.239823,-36.363551
0.006000,-3.966667,21.231034,-25.015929,-34.946729
0.006500,-6.842857,-1.637931,-27.831858,-32.113084
0.007000,-1.090476,2.650000,-29.239823,-13.694393
0.007500,-14.033333,5.508621,-29.239823,-9.443925
0.008000,-14.033333,5.508621,-27.831858,-12.277570
0.008500,-6.842857,5.508621,-30.647788,4.724299
0.009000,-6.842857,4.079310,-32.055752,0.473832
0.009500,-5.404762,5.508621,-16.568142,0.473832
0.010000,-3.966667,-0.208621,-27.831858,6.141121
0.010500,-5.404762,9.796552,-27.831858,16.058879
0.011000,-3.966667,-7.355172,-25.015929,21.726168
0.011500,-8.280952,2.650000,-20.792035,21.726168
0.012000,-1.090476,1.220690,-23.607965,20.309346
0.012500,-12.595238,2.650000,-22.200000,13.225234
0.013000,-3.966667,4.079310,-23.607965,8.974766
0.013500,0.347619,4.079310,-23.607965,3.307477
0.014000,-5.404762,6.937931,-29.239823,-8.027103
0.014500,-3.966667,8.367241,-30.647788,-5.193458
0.015000,-2.528571,6.937931,-10.936283,-9.443925
0.015500,-5.404762,6.937931,-39.095575,-17.944860
0.016000,-5.404762,4.079310,-29.239823,-19.361682
0.016500,-5.404762,11.225862,-30.647788,-19.361682
0.017000,-2.528571,-0.208621,-32.055752,-16.528037
0.017500,-8.280952,-3.067241,-30.647788,-17.944860
0.018000,-16.909524,2.650000,-29.239823,-17.944860
0.018500,14.728571,5.508621,-32.055752,-13.694393
0.019000,-14.033333,4.079310,-30.647788,-26.445794
0.019500,-5.404762,5.508621,-33.463717,-9.443925
0.020000,-5.404762,5.508621,-32.055752,-13.694393
0.020500,-2.528571,4.079310,-17.976106,-2.359813
0.021000,-2.528571,5.508621,-46.135398,-3.776636
0.021500,-3.966667,1.220690,-41.911504,1.890654
0.022000,-5.404762,19.801724,-36.279646,6.141121
0.022500,-2.528571,21.231034,-36.279646,8.974766
0.023000,1.785714,2.650000,-36.279646,11.808411
0.023500,-11.157143,2.650000,-36.279646,14.642056
0.024000,7.538095,2.650000,-36.279646,16.058879
0.024500,-2.528571,5.508621,-36.279646,1.890654
0.025000,0.347619,5.508621,-32.055752,-2.359813
0.025500,-1.090476,5.508621,-41.911504,-29.279439
0.026000,-3.966667,4.079310,-36.279646,-30.696262
0.026500,-5.404762,6.937931,-33.463717,-25.028972
0.027000,-5.404762,4.079310,-41.911504,-13.694393
0.027500,-5.404762,1.220690,-36.279646,-6.610280
0.028000,-3.966667,19.801724,-39.095575,-2.359813
0.028500,-6.842857,6.937931,-41.911504,-3.776636
0.029000,-11.157143,6.937931,-41.911504,-8.027103
0.029500,10.414286,6.937931,-41.911504,-5.193458
0.030000,-12.595238,6.937931,-41.911504,-9.443925
0.030500,-3.966667,6.937931,-40.503540,11.808411
0.031000,-2.528571,6.937931,-44.727434,-2.359813
0.031500,-3.966667,5.508621,-40.503540,-6.610280
0.032000,-2.528571,2.650000,-26.423894,0.473832
0.032500,-3.966667,5.508621,-36.279646,-3.776636
0.033000,-3.966667,15.513793,-34.871681,-5.193458
0.033500,-6.842857,2.650000,-36.279646,-3.776636
0.034000,0.347619,4.079310,-33.463717,-3.776636
0.034500,4.661905,1.220690,-32.055752,-2.359813
0.035000,-11.157143,2.650000,-32.055752,-6.610280
0.035500,-3.966667,1.220690,-33.463717,17.475701
0.036000,-1.090476,2.650000,-34.871681,-6.610280
0.036500,-1.090476,4.079310,-36.279646,-2.359813
0.037000,-2.528571,4.079310,-32.055752,-6.610280
0.037500,-2.528571,-1.637931,-30.647788,-10.860748
0.038000,0.347619,14.084483,-30.647788,-17.944860
0.038500,-5.404762,2.650000,-32.055752,-27.862617
0.039000,-14.033333,5.508621,-32.055752,-27.862617
0.039500,8.976190,2.650000,-37.687611,-19.361682
0.040000,-8.280952,5.508621,-34.871681,-17.944860
0.040500,-5.404762,5.508621,-39.095575,0.473832
0.041000,-5.404762,6.937931,-39.095575,6.141121
0.041500,-6.842857,2.650000,-20.792035,-5.193458
0.042000,-3.966667,5.508621,-43.319469,-0.942991
0.042500,-5.404762,-0.208621,-20.792035,4.724299
