	VL	GM	SM	BF
0	21.462989578	7.84250712271	11.9123536936	7.04885841769
1	21.3709393978	7.79303762284	11.6865463281	6.96763850529
2	21.4721946691	7.75765343588	12.4308913726	7.00327312654
3	21.6405238106	8.0490851153	12.5035716983	7.02957079254
4	21.8867658709	8.40088756824	12.6286026	7.10788003942
5	22.1871744672	8.37136372342	12.7347949441	6.82834348996
6	22.3373609244	8.35472497185	12.4436923161	6.69317113692
7	22.4972536895	8.34559377924	12.6194788785	6.71472260017
8	22.5932134594	7.58624359659	12.9961290591	6.76354125948
9	22.4499486205	7.52820222939	12.7615415727	6.83675263979
10	22.6090038079	7.55061962955	12.4788971255	6.84616708529
11	22.7444104289	7.94588104079	12.3053570548	6.89178271613
12	22.8912271555	7.36649669282	12.2965175093	6.95439056952
13	23.1731418758	7.32905348362	12.3465898236	7.04837071502
14	23.0795529237	7.3130552783	12.5806132394	7.33021118026
15	23.2174832969	7.30262169883	12.7878123667	7.1671512698
16	23.4305076236	7.30262169883	12.9688725543	7.23628037138
17	23.5848640952	7.28656546076	12.9789711656	7.28160314661
18	23.6683055007	7.35132909794	13.140065542	7.393105652
19	23.7182294407	7.3338779072	13.140065542	7.46760365238
20	23.6382293131	7.3338779072	13.2984819348	7.49761339794
21	23.6980278167	7.37129661033	13.5326298534	7.18752614296
22	23.9382385463	7.42357705532	13.7199280721	7.16351528802
23	23.9069270464	7.47149597646	13.7247606822	7.34587092378
24	23.8227016907	7.50822886478	13.9082173137	7.3655128374
25	23.7381774973	6.92923497896	13.8262242531	7.3992315481
26	23.6517593902	6.94453151551	13.596876392	7.3992315481
27	23.6650841434	6.99573254204	13.366304947	7.38510251025
28	23.6467853897	6.95629392997	13.304617922	7.32950241752
29	23.5565179977	6.90480046129	13.2818561389	7.28543205158
30	23.3681332968	6.82464448091	13.340247595	7.28543205158
31	23.0535275659	6.74353580635	13.731898875	7.27658594921
32	22.6266539187	6.92697274719	13.7462032029	7.28543205158
33	22.1702309143	7.36318954119	13.8727497123	7.29760803749
34	21.7277851423	7.31047725122	13.9855455022	7.31190614576
35	20.705914799	7.30639109901	14.4096653126	7.2811310336
36	19.8473066326	7.28214597021	15.2262173945	7.37307101528
37	19.3578049163	7.25066675899	15.6391671809	7.32926262908
38	18.9371197703	7.14087970512	15.3535579131	7.12623761952
39	18.6640852391	7.17930438989	15.1903806535	7.10029799145
40	18.464164765	7.3833544668	15.5086150588	7.06515275297
41	18.4235014638	7.4396792193	15.7642110239	7.06515275297
42	18.9988397728	7.38825809987	15.9046534356	7.01719120359
43	19.3834117685	7.34054598538	15.9762014619	7.06219991498
44	19.5411822662	7.31415573214	16.0517296417	7.13112499291
45	19.7695051796	7.31415573214	16.054121277	7.08705005048
46	19.9439043576	7.23853417169	15.9308474991	7.07229736383
47	20.0954017107	6.80991841006	15.9002300929	7.10740727319
48	20.1540852354	6.94389101992	15.8484089776	7.14234459344
49	20.4123621129	6.94389101992	15.8566738097	7.08139866866
50	20.4490251828	6.94389101992	15.8710423281	7.35131899338
51	20.3971876511	6.95994658857	15.8710423281	7.52588954882
52	20.3284173733	6.95994658857	15.3396848129	7.65477403662
53	20.3609704222	6.61991379933	15.1325637372	7.68405283088
54	20.8273899444	6.14832257673	14.8178857422	7.68405283088
55	22.175545255	6.14384271382	14.5781383867	7.71322048587
56	25.0868795435	6.16198322875	14.6203986346	7.74744757537
57	29.9647940334	6.17434459182	14.3963932243	7.83391670884
58	34.0032373593	6.17434459182	14.0752534001	7.77010648009
59	36.4976967374	6.11138679512	14.1497905724	7.77010648009
60	36.6271995999	6.05802599964	14.1930803619	7.77010648009
61	38.2290326598	5.49333737864	14.4068888788	7.75148985569
62	41.7497151164	5.47154900916	14.4066466142	7.75148985569
63	43.2552414853	5.45759605802	14.3796178504	7.66613419136
64	43.4108149086	5.43811862286	14.1592365629	7.13990516493
65	43.3281893334	5.43262435729	13.9790746112	7.1201345521
66	43.2300830312	5.39691264687	13.8942923403	7.04986664774
67	43.139956261	5.40201197086	13.8692850746	6.98811423518
68	43.0714081014	5.57249924843	13.7159942058	6.84541950866
69	43.135483721	5.55384432904	13.7065365673	6.76407237706
70	43.3363491999	5.74448971971	13.5433191268	6.66608532642
71	43.4944876131	5.67773660925	13.3126066112	6.64070689472
72	43.5126357679	5.61845093833	13.1112039814	6.61286299715
73	43.5130011378	5.51323440777	13.000941602	6.5605366185
74	43.9485023149	5.44263456941	12.7946339376	6.53847696284
75	44.7789335887	5.59870085851	12.7971937116	6.49037870598
76	44.9115460598	6.19827583442	12.8059602053	6.45191193388
77	46.2630148464	6.10396587894	12.8118920098	6.4419213361
78	48.6890697102	6.10396587894	12.8118920098	6.39309668736
79	51.3250821944	6.08474748769	12.8059602053	6.75195251347
80	52.7954243164	6.09726543756	12.7510812667	6.73052026333
81	53.5654957668	6.09726543756	12.4977943088	6.80408695596
82	53.8961495316	5.84246471656	12.436289667	6.81941989613
83	54.0329128717	5.43511889668	12.1798955571	6.88268602413
84	54.0949637235	5.44465774336	11.8827244408	6.90364589443
85	54.0650350811	5.45013987814	11.3646895561	6.90364589443
86	54.1634764988	5.44061064312	10.1845275027	6.94763064783
87	54.1175387176	5.44061064312	8.92513239166	6.94763064783
88	54.1175387176	5.4760373866	8.62395945283	6.94763064783
89	54.1350458891	5.42556327949	8.73008902714	6.89885212072
90	54.1197295838	5.13862807479	8.3026377799	6.88950966916
91	54.1197295838	5.03352235766	7.96294297173	6.86140599114
92	54.1197295838	5.05455912036	7.73242617246	6.86495724414
93	53.9678441142	5.05455912036	7.58827332557	6.7292260143
94	53.987578737	5.05455912036	7.67848931665	6.60652828304
95	53.987578737	5.10870007545	7.61476284279	6.61627032826
96	54.032878256	5.14641212402	7.58632712079	6.63203750533
97	54.1445186604	5.13479349656	7.57538369294	6.59439711631
98	54.3932584762	4.92617459689	7.57105863127	6.62231865513
99	54.3206874508	4.92010867869	7.52071328696	6.63807146584
100	54.4186664045	4.89849454771	7.50531131661	6.51499395644
101	54.6009667219	4.88628645661	7.56037719968	6.57986361377
102	54.7125166276	4.89191808511	7.53433790184	6.42946756155
103	54.7653134861	5.07196046814	7.4963987726	6.47048891464
104	54.5896373487	5.16457029021	7.50216271161	6.47048891464
105	54.2070036008	5.15299260475	7.52628024532	6.47048891464
106	52.9963838422	5.13235932184	7.52117735754	6.57006758517
107	50.3326858929	5.11056534928	7.65137830869	7.09096218537
